,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender
103,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+4,57,Once a month,Female
104,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+3,68,Once a month,Male
105,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+3,51,Once a month,Female
106,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,-2,42,Every three months,Female
107,No,Yes,No,Yes,No,No,No,No,No,No,No,0,44,Every three months,Female
108,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,57,Once a year,Female
109,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,56,Once a year,Female
110,No,Yes,Yes,Yes,No,No,No,No,No,No,No,-2,57,Every three months,Female
111,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,33,Once a week,Female
112,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-3,63,Every three months,Male
113,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,55,Once a month,Male
114,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,0,39,Every three months,Female
115,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,65,Never,Male
116,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,47,Once a week,Female
117,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,37,Every three months,Female
118,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,22,Once a year,Male
119,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,51,Every three months,Male
120,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a month,Female
121,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,49,Once a month,Female
122,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,55,Once a month,Female
123,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,48,Once a year,Male
124,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,24,Every three months,Female
125,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,47,Every three months,Male
126,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,54,Once a year,Male
127,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,23,Once a week,Female
128,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+1,34,Every three months,Female
129,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+3,32,Once a month,Female
130,No,Yes,No,No,No,Yes,Yes,No,No,No,No,+3,58,Once a month,Female
131,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,46,Once a year,Female
132,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female
133,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,31,Once a month,Male
134,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,59,Once a year,Male
135,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0,47,Once a month,Male
136,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,58,More than once a week,Female
137,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,55,Every three months,Male
138,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,+4,62,Once a month,Female
139,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,20,Once a month,Male
140,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,42,Every three months,Male
141,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,29,Once a month,Male
142,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+1,63,Once a month,Male
143,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+2,26,Once a week,Male
144,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,19,Once a month,Female
145,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,61,Once a year,Female
146,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,19,Once a week,Male
147,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+4,56,Once a month,Female
148,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,39,Once a year,Female
149,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,45,Once a month,Male
150,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,52,Once a year,Male
151,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,0,42,Once a month,Female
152,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,47,Once a month,Female
153,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,22,Once a week,Female
154,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,63,Once a month,Male
155,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,65,Every three months,Female
156,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,63,Every three months,Male
157,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,25,Once a month,Male
158,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,62,Once a year,Male
159,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,59,Once a year,Female
160,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,67,Once a year,Male
161,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,60,Never,Male
162,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,69,Once a week,Male
163,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,40,Never,Male
164,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,67,Once a year,Male
165,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,37,Every three months,Female
166,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-4,65,Every three months,Male
167,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,64,Once a month,Female
168,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,57,Once a month,Female
169,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,Once a week,Male
170,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+2,39,Once a month,Female
171,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,64,Every three months,Male
172,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-2,23,Once a year,Male
173,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,+2,50,Once a week,Female
174,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,60,Every three months,Male
175,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,32,Once a year,Male
176,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,59,Never,Female
177,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-2,37,Once a month,Male
178,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,+3,25,More than once a week,Female
179,No,Yes,No,No,No,Yes,No,No,No,No,No,+3,55,Once a month,Male
180,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-2,25,Once a month,Male
181,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-3,35,Once a year,Female
182,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,58,Never,Female
183,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,32,Never,Male
184,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,I hate it!-5,45,Never,Female
185,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,60,Once a year,Female
186,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,59,Once a year,Male
187,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,36,Once a month,Female
188,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0,55,Once a year,Male
189,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,55,Every three months,Female
190,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,22,Once a month,Female
191,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,21,Once a week,Female
192,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,62,Once a week,Male
193,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,29,Once a month,Male
194,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+1,36,Once a month,Female
195,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,44,Once a year,Male
196,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,47,Once a year,Female
197,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,57,Once a year,Female
198,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,23,Once a year,Female
199,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,31,Once a week,Female
200,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,70,More than once a week,Female
201,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,24,Once a week,Male
202,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,27,Every three months,Male
203,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,58,Never,Female
204,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+2,51,Once a week,Male
205,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-2,36,Every three months,Male
206,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,36,Once a month,Female
207,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0,43,Every three months,Male
208,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,64,Never,Male
209,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-3,52,Once a month,Male
210,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,53,Never,Male
211,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,52,Never,Female
212,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,33,Once a week,Female
213,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,24,Once a week,Male
214,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+4,64,Once a month,Female
215,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,+3,41,Once a month,Male
216,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,I hate it!-5,56,Once a year,Female
217,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,49,Once a month,Female
218,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,24,Once a year,Female
219,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,62,Every three months,Female
220,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,0,56,Every three months,Male
221,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+3,67,Every three months,Male
222,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Male
223,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,53,Once a year,Male
224,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,-4,60,Once a year,Female
225,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,51,Once a year,Female
226,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,I hate it!-5,67,Once a year,Female
227,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Female
228,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,56,Every three months,Male
229,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,39,Once a month,Male
230,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,35,Once a week,Female
231,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,68,Once a month,Female
232,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,57,Once a week,Female
233,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,50,Never,Female
234,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,64,Once a month,Female
235,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,66,Once a week,Female
236,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,27,More than once a week,Male
237,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,70,Never,Male
238,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,-1,51,Once a month,Male
239,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,60,Once a year,Female
240,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,49,Once a year,Female
241,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Never,Female
242,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,58,Never,Female
243,No,No,No,No,No,Yes,Yes,No,No,No,No,-3,70,Once a month,Female
244,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+3,59,More than once a week,Male
245,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,+1,54,Once a year,Female
246,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-3,52,Every three months,Female
247,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,22,Once a week,Female
248,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,53,Every three months,Female
249,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,69,More than once a week,Female
250,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,20,Every three months,Male
251,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+3,66,Once a month,Female
252,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,25,More than once a week,Female
253,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,31,Once a week,Female
254,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,67,Once a month,Female
255,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+3,56,Once a month,Female
256,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,48,Once a year,Female
257,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,54,Every three months,Female
258,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,58,Once a month,Male
259,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,42,Once a week,Female
260,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,38,Once a week,Female
261,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+2,28,Every three months,Male
262,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,47,Once a week,Female
263,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,49,Once a year,Male
264,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,40,Every three months,Female
265,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,31,Once a week,Male
266,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,50,Never,Male
267,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,-1,69,Once a year,Female
268,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,40,Once a month,Female
269,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I love it!+5,30,Once a month,Male
270,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,44,Once a year,Male
271,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,32,Once a month,Male
272,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,67,Once a week,Male
273,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,18,Once a week,Female
274,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,27,Once a year,Female
275,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,61,Once a year,Female
276,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,47,Once a year,Male
277,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-4,20,Every three months,Male
278,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,26,Once a week,Male
